,company,net_output
184,CROMPTON,54.77330017089844
185,TORNTPOWER,834.9250717163086
186,COROMANDEL,1304.587968826294
187,MANYAVAR,-119.9500732421875
188,HATSUN,62.425994873046875
189,THERMAX,1430.5878021717072
190,APLAPOLLO,814.3016204833984
191,ESCORTS,1006.6057891845703
192,SUMICHEM,270.8284912109375
193,NATIONALUM,-87.6224775314331
194,GMRINFRA,-31.970149040222168
195,3MINDIA,66580.38995361328
196,FORTIS,539.7000503540039
197,LALPATHLAB,-381.68914794921875
198,NAM-INDIA,-508.28057861328125
199,SUNDARMFIN,876.9773120880127
200,KPRMILL,-50.27164959907532
201,CLEAN,-708.9208984375
202,DEVYANI,50.45002746582031
203,POONAWALLA,238.2348508834839
204,TANLA,-801.3167195320129
205,FEDERALBNK,91.1627641916275
206,RAJESHEXPO,328.79753494262695
207,MSUMI,-15.550003051757812
208,AAVAS,-599.900146484375
209,NAVINFLUOR,4130.184495925903
210,IEX,-102.49087524414062
211,VINATIORGA,1821.3196983337402
212,ISEC,-171.4265594482422
213,GICRE,-224.19065856933594
214,WHIRLPOOL,681.1032972335815
215,L&TFH,22.05748748779297
216,GRINDWELL,1315.4434032440186
217,PFIZER,8740.785690307617
218,EMAMILTD,-99.76770210266113
219,PRESTIGE,-83.85298919677734
220,LICHSGFIN,-222.32340049743652
221,M&MFIN,520.3143672943115
222,PHOENIXLTD,78.64344787597656
223,SUNTV,842.6867218017578
224,INDIANB,99.1915168762207
225,SUNDRMFAST,-161.34966468811035
226,BANKINDIA,493.2261486053467
227,JKCEMENT,647.4071273803711
228,NIACL,-417.7004852294922
229,RAMCOCEM,187.15511226654053
230,DCMSHRIRAM,-493.67317003011703
231,CHAMBLFERT,249.71279764175415
232,SKFINDIA,6067.695032119751
233,SANOFI,3570.55029296875
234,BHEL,-267.2315764427185
235,BCG,19.252897024154663
236,SFL,133.0753173828125
237,APTUS,139.37362670898438
238,AFFLE,-288.3101348876953
239,METROBRAND,705.851806640625
240,KPITTECH,-69.04057693481445
241,BLUEDART,-3019.1393852233887
242,KAJARIACER,146.99732875823975
243,TIMKEN,2603.828893661499
244,CENTRALBK,30.439022064208984
245,CENTURYPLY,-43.699100494384766
246,GILLETTE,5415.475006103516
247,SUVENPHAR,227.54762268066406
248,AJANTPHARM,573.4205983877182
249,GODREJIND,1.1302564144134521
250,HAPPSTMNDS,-774.1034240722656
251,CDSL,-286.7435302734375
252,ENDURANCE,774.7566528320312
253,ABSLAMC,-754.3804321289062
254,AIAENG,3447.638832092285
255,NH,348.38560485839844
256,IRB,69.53609561920166
257,CARBORUNIV,747.0606727600098
258,POWERINDIA,3161.935546875
259,GRINFRA,-954.0999145507812
260,GSPL,375.73442459106445
261,ALKYLAMINE,-1694.7437825202942
262,APLLTD,-800.2552318572998
263,ZFCVINDIA,9077.308044433594
264,UCOBANK,146.04715633392334
265,NUVOCO,-470.3000793457031
266,NATCOPHARM,362.1195236444473
267,BASF,161.55980682373047
