,company,net_output
185,TORNTPOWER,1355.9499588012695
186,COROMANDEL,1726.9999732971191
187,MANYAVAR,284.1500244140625
188,HATSUN,1242.2283020019531
189,THERMAX,5056.203237295151
190,APLAPOLLO,1583.0299558639526
191,ESCORTS,2880.600124359131
192,SUMICHEM,248.40011596679688
193,NATIONALUM,258.20005989074707
194,GMRINFRA,58.62951374053955
195,3MINDIA,43579.25224304199
196,FORTIS,359.90000915527344
197,LALPATHLAB,3892.19970703125
198,NAM-INDIA,-110.89991760253906
199,SUNDARMFIN,1973.4644031524658
200,KPRMILL,921.3649280071259
201,CLEAN,-1737.0
202,DEVYANI,-84.55001068115234
203,POONAWALLA,311.6199917793274
204,TANLA,-14.424852848052979
205,FEDERALBNK,245.16072189807892
206,RAJESHEXPO,1281.3785125613213
207,MSUMI,-10.5
208,AAVAS,3840.8502197265625
209,NAVINFLUOR,7616.17059135437
210,IEX,-28.80002212524414
211,VINATIORGA,4302.13490486145
212,ISEC,-100.34989929199219
213,GICRE,-335.4249038696289
214,WHIRLPOOL,2026.8005714416504
215,L&TFH,-106.534912109375
216,GRINDWELL,4629.150089263916
217,PFIZER,7450.198669433594
218,EMAMILTD,185.14992713928223
219,PRESTIGE,123.24998474121094
220,LICHSGFIN,125.02003860473633
221,M&MFIN,193.23806762695312
222,PHOENIXLTD,1752.0201301574707
223,SUNTV,-607.5375061035156
224,INDIANB,-40.0999755859375
225,SUNDRMFAST,1541.3701238632202
226,BANKINDIA,-23.449993133544922
227,JKCEMENT,6313.049621582031
228,NIACL,-359.57495880126953
229,RAMCOCEM,1817.4285259246826
230,DCMSHRIRAM,1300.2570308446884
231,CHAMBLFERT,1368.649959564209
232,SKFINDIA,10183.40145111084
233,SANOFI,12309.45085144043
234,BHEL,-86.42833423614502
235,BCG,20.640012979507446
236,SFL,84.04986572265625
237,APTUS,-230.54998779296875
238,AFFLE,1806.9602661132812
239,METROBRAND,502.75
240,KPITTECH,1642.1999549865723
241,BLUEDART,19006.198963165283
242,KAJARIACER,1339.8698425292969
243,TIMKEN,3710.150062561035
244,CENTRALBK,-91.63636112213135
245,CENTURYPLY,703.9700908660889
246,GILLETTE,6022.1500244140625
247,SUVENPHAR,-2.07501220703125
248,AJANTPHARM,853.2468016147614
249,GODREJIND,539.0803513526917
250,HAPPSTMNDS,347.3000793457031
251,CDSL,851.2997741699219
252,ENDURANCE,222.649658203125
253,ABSLAMC,-428.9000244140625
254,AIAENG,5958.8997802734375
255,NH,1044.4999694824219
256,IRB,-41.92499828338623
257,CARBORUNIV,2635.183125138283
258,POWERINDIA,2569.4500122070312
259,GRINFRA,-1033.3997802734375
260,GSPL,419.45001220703125
261,ALKYLAMINE,1552.9596719741821
262,APLLTD,-806.699951171875
263,ZFCVINDIA,10026.899810791016
264,UCOBANK,-109.94998741149902
265,NUVOCO,-381.8000183105469
266,NATCOPHARM,525.0500122308731
267,BASF,5417.049293518066
