,Unnamed: 0,companies,companies_list
0,0,ab-cotspin-india-ABCO,ab cotspin india
1,1,a-b-infrabuild-ABIN,a b infrabuild
2,2,a-f-enterprises-AFE,a f enterprises
3,3,a-g-universal-AGU,a g universal
4,4,a-infrastructure-AIN,a infrastructure
5,5,akcapital-services-AKC,akcapital services
6,6,a-1-acid-AAL,a 1 acid
7,7,a2z-infra-engineering-A2ZI,a2z infra engineering
8,8,aa-plus-tradelink-AAP,aa plus tradelink
9,9,aaa-technologies-AAA,aaa technologies
10,10,aar-shyam-india-investment-company-AARS,aar shyam india investment company
11,11,abb-india-ABB,abb india
12,12,abc-gas-international-ABCG,abc gas international
13,13,abc-india-ABC,abc india
14,14,abm-knowledgeware-ABM,abm knowledgeware
15,15,acc-ACC,acc
16,16,ace-software-exports-ACES,ace software exports
17,17,aci-infocom-ACII,aci infocom
18,18,ad-manum-finance-ADM,ad manum finance
19,19,adc-india-communications-KRO,adc india communications
20,20,adf-foods-AMRN,adf foods
21,21,aditya-birla-sun-life-nifty-200-momentum-30-etf-MOME,aditya birla sun life nifty 200 momentum 30 etf
22,22,aditya-birla-sun-life-nifty-200-quality-30-etf-NIF,aditya birla sun life nifty 200 quality 30 etf
23,23,hsil-HSNT,hsil
24,24,agi-infra-AGI,agi infra
25,25,ags-transact-technologies-AGS,ags transact technologies
26,26,aia-engineering-AIAE,aia engineering
27,27,gammon-infrastructure-projects-GAIN,gammon infrastructure projects
28,28,a-k-spintex-AKSP,a k spintex
29,29,akg-exim-AKGE,akg exim
30,30,aki-india-AKI,aki india
31,31,akm-lace-and-embrotex-AKM,akm lace and embrotex
32,32,amd-industries-AMDM,amd industries
33,33,amj-land-holdings-AMJL,amj land holdings
34,34,ams-polymers-AMM,ams polymers
35,35,ang-lifesciences-india-ANA,ang lifesciences india
36,36,ani-integrated-services-ANII,ani integrated services
37,37,ans-industries-ANS,ans industries
38,38,apl-apollo-tubes-APLA,apl apollo tubes
39,39,apm-finvest-APM,apm finvest
40,40,apm-industries-APMI,apm industries
41,41,apt-packaging-APTP,apt packaging
42,42,a-r-c-finance-ARC,a r c finance
43,43,arss-infrastructure-projects-ARSS,arss infrastructure projects
44,44,asi-industries-ASO,asi industries
45,45,asl-industries-ASLI,asl industries
46,46,asm-technologies-ASM,asm technologies
47,47,atv-projects-india-ATVP,atv projects india
48,48,au-small-finance-bank-AUFI,au small finance bank
49,49,avg-logistics-AVGL,avg logistics
50,50,avi-polymers-AVI,avi polymers
51,51,avi-products-india-APIL,avi products india
52,52,avsl-industries-AVSL,avsl industries
53,53,avt-natural-products-AVTN,avt natural products
54,54,aadi-industries-AADI,aadi industries
55,55,aakash-exploration-services-AAKA,aakash exploration services
56,56,aananda-lakshmi-spinning-mills-AANA,aananda lakshmi spinning mills
57,57,aanchal-ispat-AAN,aanchal ispat
58,58,aarcon-facilities-RBG,aarcon facilities
59,59,aarey-drugs-and-pharmaceuticals-AREY,aarey drugs and pharmaceuticals
60,60,aarnav-fashions-AARNA,aarnav fashions
61,61,aaron-industries-AARN,aaron industries
62,62,aartech-solonics-AAR,aartech solonics
63,63,aarti-drugs-ADRG,aarti drugs
64,64,aarti-industries-ARTI,aarti industries
65,65,aarti-pharmalabs-AART,aarti pharmalabs
66,66,aarti-surfactants-partly-paidup-AARTI,aarti surfactants partly paidup
67,67,aarti-surfactants-AARU,aarti surfactants
68,68,aarvee-denims-and-exports-AADM,aarvee denims and exports
69,69,aarvi-encon-AARI,aarvi encon
70,70,aashka-hospitals-AAS,aashka hospitals
71,71,upasana-finance-UPA,upasana finance
72,72,aaswa-trading-and-exports-ASW,aaswa trading and exports
73,73,aavas-financiers-AVAS,aavas financiers
74,74,aayush-food-and-herbs-AAY,aayush food and herbs
75,75,aban-offshore-ABAN,aban offshore
76,76,abans-enterprises-ABA,abans enterprises
77,77,abans-holdings-AHL,abans holdings
78,78,trijal-industries-TRIJ,trijal industries
79,79,abbott-india-ABOT,abbott india
80,80,abhijit-trading-company-ABH,abhijit trading company
81,81,abhinav-capital-services-ABHIC,abhinav capital services
82,82,abhinav-leasing-and-finance-ALF,abhinav leasing and finance
83,83,abhishek-finlease-ABHIF,abhishek finlease
84,84,abhishek-infraventures-ABHI,abhishek infraventures
85,85,abhishek-integrations-AIL,abhishek integrations
86,86,abirami-financial-services-india-ABI,abirami financial services india
87,87,abm-international-ABMN,abm international
88,88,ecom-infotech-india-ECO,ecom infotech india
89,89,accel-ACCE,accel
90,90,accelya-solutions-india-ACCY,accelya solutions india
91,91,accord-synergy-ACCO,accord synergy
92,92,accuracy-shipping-ACCU,accuracy shipping
93,93,ace-edutrend-ACEE,ace edutrend
94,94,prem-somani-financial-services-PRESO,prem somani financial services
95,95,ace-integrated-solutions-ACEN,ace integrated solutions
96,96,ace-men-engg-works-ACE,ace men engg works
97,97,achyut-healthcare-ACHY,achyut healthcare
98,98,acknit-industries-ACK,acknit industries
99,99,acme-resources-ACME,acme resources
100,100,acrow-india-ACRO,acrow india
101,101,action-construction-equipment-ACEL,action construction equipment
102,102,active-clothing-co-ACT,active clothing co
103,103,adani-enterprises-ADEL,adani enterprises
104,104,adani-green-energy-ADNA,adani green energy
105,105,adani-ports-and-special-economic-zone-APSE,adani ports and special economic zone
106,106,adani-power-ADAN,adani power
107,107,adani-gas-ADAG,adani gas
108,108,adani-transmission-ADAI,adani transmission
109,109,adani-wilmar-AWL,adani wilmar
110,110,adarsh-mercantile-ADA,adarsh mercantile
111,111,adarsh-plant-protect-ADAR,adarsh plant protect
112,112,adcon-capital-services-partly-paidup-ADCO,adcon capital services partly paidup
113,113,adcon-capital-services-ADC,adcon capital services
114,114,add-shop-e-retail-ASR,add shop e retail
115,115,addi-industries-ADD,addi industries
116,116,adeshwar-meditex-ADE,adeshwar meditex
117,117,adhbhut-infrastructure-ADHB,adhbhut infrastructure
118,118,adinath-exim-resources-ADIE,adinath exim resources
119,119,adinath-textiles-ADIN,adinath textiles
120,120,adishakti-loha-and-ispat-ADISH,adishakti loha and ispat
121,121,aditya-birla-sun-life-nifty-bank-etf-ADIL,aditya birla sun life nifty bank etf
122,122,aditya-birla-sl-crisil-overnight-fund-ai-index-etf-ABSL,aditya birla sl crisil overnight fund ai index etf
123,123,aditya-bsl-gold-etf-AITY,aditya bsl gold etf
124,124,aditya-bsl-nifty-50-etf-ADIY,aditya bsl nifty 50 etf
125,125,aditya-birla-sun-life-nifty-next-50-etf-ADIB,aditya birla sun life nifty next 50 etf
126,126,aditya-bsl-sensex-30-etf-BSL,aditya bsl sensex 30 etf
127,127,aditya-birla-capital-ADTB,aditya birla capital
128,128,aditya-birla-fashion-and-retail-ADIA,aditya birla fashion and retail
129,129,aditya-birla-money-ABML,aditya birla money
130,130,aditya-birla-sun-life-amc-ABS,aditya birla sun life amc
131,131,aditya-birla-sun-life-nifty-healthcare-etf-HEALT,aditya birla sun life nifty healthcare etf
132,132,aditya-birla-sun-life-nifty-it-etf-TECT,aditya birla sun life nifty it etf
133,133,aditya-birla-sun-life-silver-etf-SILVR,aditya birla sun life silver etf
134,134,aditya-consumer-marketing-ACM,aditya consumer marketing
135,135,aditya-ispat-ADITY,aditya ispat
136,136,aditya-spinners-ADIT,aditya spinners
137,137,aditya-vision-AVL,aditya vision
138,138,adjia-technologies-ADJ,adjia technologies
139,139,kamron-laboratories-KAMR,kamron laboratories
140,140,ador-fontech-ADO,ador fontech
141,141,ador-multi-products-ADORM,ador multi products
142,142,ador-welding-ADOR,ador welding
143,143,adroit-infotech-AROI,adroit infotech
144,144,advait-infratech-ADVA,advait infratech
145,145,advance-lifestyles-ADVL,advance lifestyles
146,146,advance-metering-technology-AMTL,advance metering technology
147,147,advance-petrochemicals-ADVPE,advance petrochemicals
148,148,advance-syntex-ASY,advance syntex
149,149,advanced-enzyme-technologies-ADEN,advanced enzyme technologies
150,150,advani-hotels-and-resorts-india-ADHO,advani hotels and resorts india
151,151,advik-capital-ADVI,advik capital
152,152,advik-laboratories-ADVIK,advik laboratories
153,153,aegis-logistics-AEGS,aegis logistics
154,154,aether-industries-AET,aether industries
155,155,affle-india-AFFL,affle india
156,156,affordable-robotic-and-automation-AFF,affordable robotic and automation
157,157,agarwal-float-glass-india-AGA,agarwal float glass india
158,158,devki-leasing-and-finance-DEVK,devki leasing and finance
159,159,agarwal-industrial-corporation-AGWL,agarwal industrial corporation
160,160,agio-paper-and-industries-AGIO,agio paper and industries
161,161,agni-green-power--AGN,agni green power
162,162,agri-tech-india-AGTL,agri tech india
163,163,agrimony-commodities-AGR,agrimony commodities
164,164,agro-phos-india-AGRP,agro phos india
165,165,agro-tech-foods-AGRO,agro tech foods
166,166,ahimsa-industries-AHIN,ahimsa industries
167,167,ahlada-engineers-AHLA,ahlada engineers
168,168,ahluwalia-contracts-india-AHLU,ahluwalia contracts india
169,169,ahmedabad-steelcraft-AHM,ahmedabad steelcraft
170,170,ai-champdany-industries-AICI,ai champdany industries
171,171,aimco-pesticides-AIMC,aimco pesticides
172,172,airan-AIRA,airan
173,173,airolam-AIRO,airolam
174,174,aishwarya-technologies-and-telecom-AIS,aishwarya technologies and telecom
175,175,ajanta-pharma-AJPH,ajanta pharma
176,176,ajanta-soya-AJA,ajanta soya
177,177,ajcon-global-services-AJC,ajcon global services
178,178,ajel-AJE,ajel
179,179,ajmera-realty-and-infra-india-AJME,ajmera realty and infra india
180,180,ajooni-biotech-AJOO,ajooni biotech
181,181,ajwa-fun-world-and-resort-AJW,ajwa fun world and resort
182,182,akar-auto-industries-AAI,akar auto industries
183,183,akash-infra-projects-AKAS,akash infra projects
184,184,aksh-optifibre-AKSO,aksh optifibre
185,185,akshar-spintex-AKS,akshar spintex
186,186,aksharchem-india-AKSH,aksharchem india
187,187,akzo-nobel-india-AKZO,akzo nobel india
188,188,alacrity-securities-ALSA,alacrity securities
189,189,alan-scott-industries-ALAN,alan scott industries
190,190,alankit-ALAK,alankit
191,191,albert-david-ALBD,albert david
192,192,alchemist-corporation-ALC,alchemist corporation
193,193,alembic-ALMC,alembic
194,194,alembic-pharmaceuticals-ALEM,alembic pharmaceuticals
195,195,alexander-stamps-and-coin-ALE,alexander stamps and coin
196,196,alfa-ica-india-ALFAI,alfa ica india
197,197,alfa-transformers-ALFAT,alfa transformers
198,198,alfavision-overseas-ALFA,alfavision overseas
199,199,alfred-herbert-india-ALFR,alfred herbert india
200,200,hindustan-everest-tools-HINDE,hindustan everest tools
201,201,alicon-castalloy-ALIO,alicon castalloy
202,202,alkali-metals-ALML,alkali metals
203,203,alkem-laboratories-ALKE,alkem laboratories
204,204,alkosign-ALKO,alkosign
205,205,alkyl-amines-chemicals-ALKY,alkyl amines chemicals
206,206,all-e-technologies-ALL,all e technologies
207,207,allcargo-logistics-ACLL,allcargo logistics
208,208,alliance-integrated-metaliks-AIM,alliance integrated metaliks
209,209,allied-digital-services-ADIS,allied digital services
210,210,allsec-technologies-ALLS,allsec technologies
211,211,almondz-global-securities-ALSL,almondz global securities
212,212,alna-trading-and-exports-ALN,alna trading and exports
213,213,alok-industries-ALOK,alok industries
214,214,alpa-laboratories-ALPA,alpa laboratories
215,215,alphageo-india-ALPI,alphageo india
216,216,alphalogic-techsys-ALP,alphalogic techsys
217,217,alpine-housing-development-corporation-ALPIN,alpine housing development corporation
218,218,alps-industries-ALPS,alps industries
219,219,alps-motor-finance-ALPSM,alps motor finance
220,220,alstone-textiles-india-ALS,alstone textiles india
221,221,alufluoride-ALU,alufluoride
222,222,amal-AMAA,amal
223,223,amalgamated-electricity-company-AMAL,amalgamated electricity company
224,224,amanaya-ventures-AMANA,amanaya ventures
225,225,amara-raja-batteries-AMAR,amara raja batteries
226,226,amarjothi-spinning-mills-AMARJ,amarjothi spinning mills
227,227,amarnath-securities-AMARS,amarnath securities
228,228,amba-enterprises-AEL,amba enterprises
229,229,ambalal-sarabhai-enterprises-AMBAS,ambalal sarabhai enterprises
230,230,ambani-organics-AMBN,ambani organics
231,231,ambar-protein-industries-AMBA,ambar protein industries
232,232,ambassador-intra-holdings-AIH,ambassador intra holdings
233,233,amber-enterprises-india-AMBE,amber enterprises india
234,234,ambica-agarbathies-aroma-and-industries-AAAI,ambica agarbathies aroma and industries
235,235,ambika-cotton-mills-AMBK,ambika cotton mills
236,236,ambition-mica-AMB,ambition mica
237,237,ambitious-plastomac-company-AMBI,ambitious plastomac company
238,238,ambo-agritec-AMBO,ambo agritec
239,239,ambuja-cements-ABUJ,ambuja cements
240,240,amco-india-AMC,amco india
241,241,amradeep-industries-AMARD,amradeep industries
242,242,ameya-precision-engineers-AME,ameya precision engineers
243,243,amforge-industries-AMFO,amforge industries
244,244,ami-organics-AMIO,ami organics
245,245,amiable-logistics-india-AMIA,amiable logistics india
246,246,amin-tannery-AMI,amin tannery
247,247,amines-and-plasticizers-AMN,amines and plasticizers
248,248,amit-international-AMIT,amit international
249,249,amrapali-capital-and-finance-services-ACF,amrapali capital and finance services
250,250,amrapali-fincap-AMR,amrapali fincap
251,251,amrapali-industries-AMRAP,amrapali industries
252,252,amraworld-agrico-AMRA,amraworld agrico
253,253,amrutanjan-health-care-AJAN,amrutanjan health care
254,254,anand-projects-ANAN,anand projects
255,255,anand-rathi-wealth-ANAND,anand rathi wealth
256,256,anand-rayons-ARL,anand rayons
257,257,anant-raj-ANRA,anant raj
258,258,andhra-cements-ANDC,andhra cements
259,259,andhra-paper-ANDA,andhra paper
260,260,andhra-petrochemicals-AND,andhra petrochemicals
261,261,andhra-sugars-ANDS,andhra sugars
262,262,andrew-yule-and-company-ANDR,andrew yule and company
263,263,aneri-fincap-ANE,aneri fincap
264,264,angel-fibers-ANG,angel fibers
265,265,angel-broking-ANGE,angel broking
266,266,anik-industries-ANIK,anik industries
267,267,anjani-finance-ANJ,anjani finance
268,268,anjani-foods-ANJA,anjani foods
269,269,anjani-portland-cement-ANCM,anjani portland cement
270,270,anjani-synthetics-ANJAN,anjani synthetics
271,271,anka-india-ANK,anka india
272,272,ankit-metal-and-power-AMPL,ankit metal and power
273,273,anlon-technology-solutions-ANL,anlon technology solutions
274,274,anmol-india-ANM,anmol india
275,275,anna-infrastructures-ANN,anna infrastructures
276,276,annapurna-swadisht-ANNA,annapurna swadisht
277,277,ansal-buildwell-ANSA,ansal buildwell
278,278,ansal-housing-ANSL,ansal housing
279,279,ansal-properties-and-infrastructure-ANSP,ansal properties and infrastructure
280,280,anshuni-commercials-ANSH,anshuni commercials
281,281,antarctica-ANTC,antarctica
282,282,antariksh-industries-ANT,antariksh industries
283,283,antony-waste-handling-cell-AWH,antony waste handling cell
284,284,anubhav-infrastructure-ANUB,anubhav infrastructure
285,285,anuh-pharma-ANUH,anuh pharma
286,286,anup-engineering-ANUE,anup engineering
287,287,anupam-finserv-ANUPA,anupam finserv
288,288,anupam-rasayan-india-ANUR,anupam rasayan india
289,289,anuroop-packaging-ANU,anuroop packaging
290,290,anzen-india-energy-yield-plus-trust-ANZ,anzen india energy yield plus trust
291,291,apar-industries-APAR,apar industries
292,292,apcotex-industries-APCI,apcotex industries
293,293,apex-capital-and-finance-ACFL,apex capital and finance
294,294,apex-frozen-foods-APEX,apex frozen foods
295,295,apis-india-API,apis india
296,296,aplab-APLAB,aplab
297,297,apollo-finvest-india-APOLL,apollo finvest india
298,298,apollo-hospitals-enterprise-APLH,apollo hospitals enterprise
299,299,apollo-micro-systems-APLL,apollo micro systems
300,300,apollo-pipes-AOLL,apollo pipes
301,301,apollo-sindoori-hotels-APOS,apollo sindoori hotels
302,302,apollo-tyres-APLO,apollo tyres
303,303,apoorva-leasing-finance-and-investment-co-APO,apoorva leasing finance and investment co
304,304,aptech-APTA,aptech
305,305,aptus-value-housing-finance-india-APTU,aptus value housing finance india
306,306,aravali-securities-and-finance-ARAV,aravali securities and finance
307,307,arcee-industries-ARCE,arcee industries
308,308,archana-software-ARSW,archana software
309,309,archean-chemical-industries-ACA,archean chemical industries
310,310,archidply-decor-ADL,archidply decor
311,311,archidply-industries-ARCY,archidply industries
312,312,archies-ARGG,archies
313,313,archit-organosys-ARCH,archit organosys
314,314,arcotech-ARCO,arcotech
315,315,arex-industries-AREX,arex industries
316,316,arfin-india-ARF,arfin india
317,317,arham-technologies-ARHA,arham technologies
318,318,aries-agro-ARAI,aries agro
319,319,arihant-academy-ARIHA,arihant academy
320,320,arihant-capital-markets-ARIH,arihant capital markets
321,321,arihant-foundations-and-housing-ARFL,arihant foundations and housing
322,322,arihant-superstructures-ARIS,arihant superstructures
323,323,arihant-tournesol-ARH,arihant tournesol
324,324,arihants-securities-ARISE,arihants securities
325,325,aris-international-ARISI,aris international
326,326,aristo-bio-tech-and-lifescience-ARIST,aristo bio tech and lifescience
327,327,arman-financial-services-ARLF,arman financial services
328,328,arman-holdings-ARM,arman holdings
329,329,arnold-holdings-ARN,arnold holdings
330,330,aro-granite-industries-AROG,aro granite industries
331,331,aroma-enterprises-india-ARO,aroma enterprises india
332,332,arrow-greentech-ARRO,arrow greentech
333,333,arshiya-ARSH,arshiya
334,334,art-nirman-ARTN,art nirman
335,335,artefact-projects-ARTE,artefact projects
336,336,artemis-electricals-ART,artemis electricals
337,337,artemis-medicare-services-ATEM,artemis medicare services
338,338,artson-engineering-ARTS,artson engineering
339,339,aruna-hotels-ARU,aruna hotels
340,340,m-b-parikh-finstock-MBP,m b parikh finstock
341,341,arunjyoti-bio-ventures-ABV,arunjyoti bio ventures
342,342,arvee-laboratories-india-ARVE,arvee laboratories india
343,343,arvind-fashions-ARVF,arvind fashions
344,344,arvind-ARVN,arvind
345,345,arvind-smartspaces-ARVD,arvind smartspaces
346,346,aryaman-capital-markets-ARYA,aryaman capital markets
347,347,aryaman-financial-services-ARYAM,aryaman financial services
348,348,aryan-share-and-stock-brokers-ARY,aryan share and stock brokers
349,349,aryavan-enterprise-ARYAV,aryavan enterprise
350,350,asahi-india-glass-AISG,asahi india glass
351,351,asahi-songwon-colors-lucky-laminates-ASSC,asahi songwon colors lucky laminates
352,352,ascensive-educare-ASC,ascensive educare
353,353,ascom-leasing-and-investments-ASCM,ascom leasing and investments
354,354,ashapura-minechem-ASHM,ashapura minechem
355,355,ashapuri-gold-ornament-AGO,ashapuri gold ornament
356,356,ashiana-agro-industries-ASHAI,ashiana agro industries
357,357,ashiana-housing-AHFN,ashiana housing
358,358,ashiana-ispat-ASHIA,ashiana ispat
359,359,ashika-credit-capital-ASHI,ashika credit capital
360,360,ashima-ASHL,ashima
361,361,ashirwad-capital-ASHC,ashirwad capital
362,362,ashirwad-steels-and-industries-ASHS,ashirwad steels and industries
363,363,ashish-polyplast-ASHIS,ashish polyplast
364,364,ashnisha-industries-ASH,ashnisha industries
365,365,ashnoor-textile-mills-ASHN,ashnoor textile mills
366,366,ashok-alco-chem-ASHOK,ashok alco chem
367,367,ashok-leyland-ASOK,ashok leyland
368,368,ashoka-buildcon-ABDL,ashoka buildcon
369,369,ashoka-metcast-AML,ashoka metcast
370,370,ashoka-refineries-ASHO,ashoka refineries
371,371,ashram-onlinecom-TATIA,ashram onlinecom
372,372,asia-capital-ASI,asia capital
373,373,asia-pack-ASIA,asia pack
374,374,asian-oilfield-services-ASIAO,asian oilfield services
375,375,asian-food-products-ASIF,asian food products
376,376,asian-granito-india-ASGI,asian granito india
377,377,asian-hotels-north-ASHT,asian hotels north
378,378,asian-hotels-west-ASHW,asian hotels west
379,379,asian-hotels-east-ASHE,asian hotels east
380,380,asian-paints-ASPN,asian paints
381,381,asian-petroproducts-and-exports-ASIN,asian petroproducts and exports
382,382,asian-star-company-AST,asian star company
383,383,asian-tea-and-exports-ASIAT,asian tea and exports
384,384,asit-c-mehta-financial-services-ASIT,asit c mehta financial services
385,385,aspinwall-and-co-ASPI,aspinwall and co
386,386,aspira-pathlab-and-diagnostics-ASP,aspira pathlab and diagnostics
387,387,assam-entrade-ASS,assam entrade
388,388,associated-alcohols-and-breweries-ASAL,associated alcohols and breweries
389,389,associated-ceramics-ASSO,associated ceramics
390,390,astec-lifesciences-ASTE,astec lifesciences
391,391,aster-dm-healthcare-ATRD,aster dm healthcare
392,392,astra-micro-wave-products-ASTM,astra micro wave products
393,393,astral-poly-technik-ASPT,astral poly technik
394,394,astrazeneca-pharma-india-ASTR,astrazeneca pharma india
395,395,astron-paper-and-board-mill-ASTO,astron paper and board mill
396,396,asutosh-enterprises-ASU,asutosh enterprises
397,397,atal-realtech-ATAL,atal realtech
398,398,atam-valves-ATA,atam valves
399,399,atharv-enterprises-ATHA,atharv enterprises
400,400,athena-constructions-ATH,athena constructions
401,401,athena-global-technologies-ATHE,athena global technologies
402,402,atishay-ATI,atishay
403,403,atlanta-ATLT,atlanta
404,404,atlas-jewellery-india-AJI,atlas jewellery india
405,405,atul-auto-ATUL,atul auto
406,406,atul-ATLP,atul
407,407,aurangabad-distillery-AURA,aurangabad distillery
408,408,aurionpro-solutions-APSL,aurionpro solutions
409,409,auro-impex-and-chemicals-AUROI,auro impex and chemicals
410,410,auro-laboratories-AURO,auro laboratories
411,411,aurobindo-pharma-ARBN,aurobindo pharma
412,412,aurum-proptech-partly-paidup-AURU,aurum proptech partly paidup
413,413,majesco-MAJC,majesco
414,414,ausom-enterprise-AUSM,ausom enterprise
415,415,austin-engineering-company-AUS,austin engineering company
416,416,authum-investment-and-infrastructure-AII,authum investment and infrastructure
417,417,auto-pins-india-AUTO,auto pins india
418,418,autoline-industries-AUIN,autoline industries
419,419,autolite-india-AUTL,autolite india
420,420,automobile-corporation-of-goa-AUTOC,automobile corporation of goa
421,421,automotive-axles-ATOA,automotive axles
422,422,automotive-stampings-and-assemblies-ASAS,automotive stampings and assemblies
423,423,autoriders-international-AUTOI,autoriders international
424,424,avadh-sugar-and-energy-AVAD,avadh sugar and energy
425,425,available-finance-AVAI,available finance
426,426,avalon-technologies-AVAL,avalon technologies
427,427,avance-technologies-AVAN,avance technologies
428,428,avantel-AVA,avantel
429,429,avanti-feeds-AVNT,avanti feeds
430,430,aveer-foods-AVE,aveer foods
431,431,avenue-supermarts-AVEU,avenue supermarts
432,432,aviva-industries-AVIV,aviva industries
433,433,avonmore-capital-and-management-services-AVON,avonmore capital and management services
434,434,avro-india-AVRI,avro india
435,435,axel-polymers-AXE,axel polymers
436,436,axis-aaa-bond-plus-sdl-etf-2026-matur-reg-growth-AXISB,axis aaa bond plus sdl etf 2026 matur reg growth
437,437,axis-bank-AXBK,axis bank
438,438,axis-banking-etf-AXIS,axis banking etf
439,439,axis-consumption-etf-AXISC,axis consumption etf
440,440,axis-gold-etf-AXGF,axis gold etf
441,441,axis-healthcare-etf-AXISH,axis healthcare etf
442,442,axis-nifty-50-etf-AISN,axis nifty 50 etf
443,443,axis-sandp-bse-sensex-etf-AXS,axis sandp bse sensex etf
444,444,axis-silver-etf-AXISI,axis silver etf
445,445,axis-technology-etf-regular-growth-AXIST,axis technology etf regular growth
446,446,axiscades-technologies-AXIT,axiscades technologies
447,447,axita-cotton-AXI,axita cotton
448,448,axtel-industries-AXT,axtel industries
449,449,aym-syntex-AYMS,aym syntex
450,450,ayoki-merchantile-AYO,ayoki merchantile
451,451,b-and-a-BNAL,b and a
452,452,b-and-a-packaging-india-BAP,b and a packaging india
453,453,b-c-c-fuba-india-BCC,b c c fuba india
454,454,b-l-kashyap-and-sons-BLKS,b l kashyap and sons
455,455,b-p-capital-BPC,b p capital
456,456,bandb-triplewall-containers-BBTR,bandb triplewall containers
457,457,b-right-realestate-BRR,b right realestate
458,458,bag-films-and-media-BAGF,bag films and media
459,459,b2b-software-technologies-BBS,b2b software technologies
460,460,bampsl-securities-BAM,bampsl securities
461,461,basf-india-BASF,basf india
462,462,bc-power-controls-BCPC,bc power controls
463,463,bcl-enterprises-BCL,bcl enterprises
464,464,bcl-industries-BCLI,bcl industries
465,465,bcpl-railway-infrastructure-BCP,bcpl railway infrastructure
466,466,bdh-industries-BDH,bdh industries
467,467,bdr-buildcon-BDRB,bdr buildcon
468,468,beml-land-assets-BLAL,beml land assets
469,469,beml-BEML,beml
470,470,bew-engineering-BEW,bew engineering
471,471,bf-investment-BFIN,bf investment
472,472,bf-utilities-limitd-BFUT,bf utilities limitd
473,473,bfl-asset-finvest-BFL,bfl asset finvest
474,474,bgr-energy-systems-BGRE,bgr energy systems
475,475,bharat-bond-etf---april-2033-EBB,bharat bond etf   april 2033
476,476,edelweiss-bharat-bond-etf-april-2023-etf-BARB,edelweiss bharat bond etf april 2023 etf
477,477,edelweiss-bharat-bond-etf-april-2025-etf-BARF,edelweiss bharat bond etf april 2025 etf
478,478,edelweiss-bharat-bond-etf-april-2030-etf-BHAB,edelweiss bharat bond etf april 2030 etf
479,479,edelweiss-bharat-bond-etf-april-2031-etf-BARE,edelweiss bharat bond etf april 2031 etf
480,480,bharat-bond-etf---april-2032-BBE,bharat bond etf   april 2032
481,481,bkm-industries-BKMI,bkm industries
482,482,bkv-industries-BKV,bkv industries
483,483,blb-BLB,blb
484,484,bls-infotech-BLS,bls infotech
485,485,bmb-music-and-magnetics-BMB,bmb music and magnetics
486,486,bmw-industries-BMW,bmw industries
487,487,b-n-rathi-securities-BNRS,b n rathi securities
488,488,bnr-udyog-BNR,bnr udyog
489,489,bpl-BPL,bpl
490,490,bse-BSEL,bse
491,491,bsel-infrastructure-realty-BISL,bsel infrastructure realty
492,492,bsl-BSLL,bsl
493,493,baba-arts-BAB,baba arts
494,494,bacil-pharma-BAC,bacil pharma
495,495,bafna-pharmaceuticals-BAFP,bafna pharmaceuticals
496,496,baheti-recycling-industries-BAH,baheti recycling industries
497,497,baid-leasing-and-finance-co-BALF,baid leasing and finance co
498,498,bajaj-auto-BAJA,bajaj auto
499,499,bajaj-consumer-care-BACO,bajaj consumer care
500,500,bajaj-electricals-BJEL,bajaj electricals
501,501,bajaj-finance-BJFN,bajaj finance
502,502,bajaj-finserv-BJFS,bajaj finserv
503,503,bajaj-global-BAJG,bajaj global
504,504,bajaj-healthcare-BAJ,bajaj healthcare
505,505,bajaj-hindusthan-sugar-BJHN,bajaj hindusthan sugar
506,506,bajaj-holdings-and-investment-BJAT,bajaj holdings and investment
507,507,bajaj-steel-industries-BAJAJ,bajaj steel industries
508,508,bal-pharma-BALP,bal pharma
509,509,balaji-amines-BAMN,balaji amines
510,510,balaji-telefilms-BLTE,balaji telefilms
511,511,balaxi-pharmaceuticals-BALX,balaxi pharmaceuticals
512,512,balgopal-commercial-BAL,balgopal commercial
513,513,balkrishna-industries-BLKI,balkrishna industries
514,514,balkrishna-paper-mills-BALK,balkrishna paper mills
515,515,ballarpur-industries-BILT,ballarpur industries
516,516,balmer-lawrie-investment-BLI,balmer lawrie investment
517,517,balmer-lawrie-and-company-BLMR,balmer lawrie and company
518,518,balrampur-chini-mills-BACH,balrampur chini mills
519,519,amaze-entertech-AMAZ,amaze entertech
520,520,balurghat-technologies-BALU,balurghat technologies
521,521,bambino-agro-industries-BAMB,bambino agro industries
522,522,banaras-beads-BANB,banaras beads
523,523,banas-finance-BAN,banas finance
524,524,banco-products-india-BNCO,banco products india
525,525,shiva-medicare-SHIVM,shiva medicare
526,526,bandhan-bank-BANH,bandhan bank
527,527,bang-overseas-BANO,bang overseas
528,528,bangalore-fort-farms-BFF,bangalore fort farms
529,529,bank-of-baroda-BOB,bank of baroda
530,530,bank-of-india-BOI,bank of india
531,531,bank-of-maharashtra-BMBK,bank of maharashtra
532,532,banka-bioloo-BAKN,banka bioloo
533,533,bannari-amman-spinning-mills-BASP,bannari amman spinning mills
534,534,bannari-amman-sugars-BANN,bannari amman sugars
535,535,bansal-multiflex-BANL,bansal multiflex
536,536,bansal-roofing-products-BRP,bansal roofing products
537,537,bansisons-tea-industries-BANST,bansisons tea industries
538,538,banswara-syntex-BANS,banswara syntex
539,539,barak-valley-cements-BAVA,barak valley cements
