,Unnamed: 0,companies,companies_list
3452,3452,transvoy-logistics-india-TRANV,transvoy logistics india
3453,3453,transwarranty-finance-TRFI,transwarranty finance
3454,3454,transwind-infrastructures-TRAW,transwind infrastructures
3455,3455,tranway-technologies-TRA,tranway technologies
3456,3456,tree-house-education-and-accessories-THEA,tree house education and accessories
3457,3457,trejhara-solutions-TREJ,trejhara solutions
3458,3458,trent-TREN,trent
3459,3459,trescon-TRE,trescon
3460,3460,tribhovandas-bhimji-zaveri-TBZL,tribhovandas bhimji zaveri
3461,3461,tricom-fruit-products-TRIC,tricom fruit products
3462,3462,trident-lifeline-TLL,trident lifeline
3463,3463,trident-TRIE,trident
3464,3464,trident-texofab-TTF,trident texofab
3465,3465,tridev-infraestates-ASHU,tridev infraestates
3466,3466,trigyn-technologies-TRIG,trigyn technologies
3467,3467,trimurthi-TRIM,trimurthi
3468,3468,trinity-league-india-TRIN,trinity league india
3469,3469,trio-mercantile-and-trading-TRIO,trio mercantile and trading
3470,3470,triochem-products-TRIP,triochem products
3471,3471,trishakti-electronics-and-industries-TRIS,trishakti electronics and industries
3472,3472,triton-corp-TRITN,triton corp
3473,3473,triton-valves-TRITO,triton valves
3474,3474,triveni-engineering-and-industries-TREI,triveni engineering and industries
3475,3475,triveni-enterprises-TRI,triveni enterprises
3476,3476,triveni-glass-TRIVE,triveni glass
3477,3477,triveni-turbine-TRVT,triveni turbine
3478,3478,trivikrama-industries-TRIV,trivikrama industries
3479,3479,dhanvarsha-finvest-DHA,dhanvarsha finvest
3480,3480,tube-investments-of-india-TBEI,tube investments of india
3481,3481,tulasee-bio-ethanol-TULA,tulasee bio ethanol
3482,3482,tulive-developers-TUL,tulive developers
3483,3483,tulsyan-nec-TNEC,tulsyan nec
3484,3484,tuni-textile-mills-TUN,tuni textile mills
3485,3485,turner-industries-LAD,turner industries
3486,3486,tuticorin-alkali-chemicals-and-fertilizers-TUT,tuticorin alkali chemicals and fertilizers
3487,3487,twentyfirst-century-management-services-TWMS,twentyfirst century management services
3488,3488,twin-roses-trades-and-agencies-TWIR,twin roses trades and agencies
3489,3489,twinstar-industries-TWI,twinstar industries
3490,3490,tyche-industries-TYC,tyche industries
3491,3491,typhoon-financial-services-TFS,typhoon financial services
3492,3492,tyroon-tea-company-TYR,tyroon tea company
3493,3493,u-h-zaveri-UHZ,u h zaveri
3494,3494,u-y-fincorp-UYF,u y fincorp
3495,3495,u-p-hotels-UPH,u p hotels
3496,3496,ucal-fuel-systems-UCAF,ucal fuel systems
3497,3497,uco-bank-UCBK,uco bank
3498,3498,ufo-moviez-india-UFOM,ufo moviez india
3499,3499,ultramarine-and-pigments-ULTR,ultramarine and pigments
3500,3500,uma-exports-UMA,uma exports
3501,3501,minda-industries-MNDA,minda industries
3502,3502,upl-UPLL,upl
3503,3503,usg-tech-solutions-USG,usg tech solutions
3504,3504,uti-asset-management-company-UTI,uti asset management company
3505,3505,uti-bank-etf-UTIB,uti bank etf
3506,3506,uti-gold-etf-UTGF,uti gold etf
3507,3507,uti-sensex-next-50-etf-UTIP,uti sensex next 50 etf
3508,3508,uti-silver-etf-SILVT,uti silver etf
3509,3509,uti-nifty-50-etf-UTIN,uti nifty 50 etf
3510,3510,uti-nifty-next-50-etf-UTII,uti nifty next 50 etf
3511,3511,uti-sensex-30-etf-UTIS,uti sensex 30 etf
3512,3512,utl-industries-UTL,utl industries
3513,3513,udaipur-cement-works-JKU,udaipur cement works
3514,3514,uday-jewellery-industries-UDA,uday jewellery industries
3515,3515,udayshivakumar-infra-USK,udayshivakumar infra
3516,3516,uflex-UFLX,uflex
3517,3517,ugar-sugar-works-UGSW,ugar sugar works
3518,3518,ugro-capital-UGR,ugro capital
3519,3519,ujaas-energy-UJAA,ujaas energy
3520,3520,ujjivan-financial-services-UJVF,ujjivan financial services
3521,3521,ujjivan-small-finance-bank-UJJI,ujjivan small finance bank
3522,3522,ultra-wiring-connectivity-system-ULRA,ultra wiring connectivity system
3523,3523,ultratech-cement-ULTC,ultratech cement
3524,3524,ultracab-india-ULT,ultracab india
3525,3525,uma-converter-UMU,uma converter
3526,3526,umang-dairies-UMDA,umang dairies
3527,3527,umiya-tubes-UMI,umiya tubes
3528,3528,uni-abex-alloy-products-UNIAB,uni abex alloy products
3529,3529,unichem-laboratories-UNLB,unichem laboratories
3530,3530,unick-fix-a-form-and-printers-UNICK,unick fix a form and printers
3531,3531,uniinfo-telecom-services-UNNI,uniinfo telecom services
3532,3532,unijolly-investments-company-UNIJ,unijolly investments company
3533,3533,unimode-overseas-UNIM,unimode overseas
3534,3534,union-bank-of-india-UNBK,union bank of india
3535,3535,union-quality-plastics-UNQ,union quality plastics
3536,3536,uniparts-india-UNIP,uniparts india
3537,3537,uniphos-enterprises-UNPH,uniphos enterprises
3538,3538,uniply-industries-UNIN,uniply industries
3539,3539,unique-organics-UNIQ,unique organics
3540,3540,uniroyal-industries-UNIR,uniroyal industries
3541,3541,uniroyal-marine-exports-UNR,uniroyal marine exports
3542,3542,unishire-urban-infra-UNI,unishire urban infra
3543,3543,unison-metals-UNISO,unison metals
3544,3544,unistar-multimedia-UNIST,unistar multimedia
3545,3545,unitech-international-UNIT,unitech international
3546,3546,unitech-UNTE,unitech
3547,3547,united-breweries-UBBW,united breweries
3548,3548,united-credit-UNITD,united credit
3549,3549,united-drilling-tools-UNID,united drilling tools
3550,3550,united-interactive-UNITI,united interactive
3551,3551,united-leasing-and-industries-UNT,united leasing and industries
3552,3552,united-nilgiri-tea-estates-company-UNIL,united nilgiri tea estates company
3553,3553,united-polyfab-gujarat-UNTD,united polyfab gujarat
3554,3554,united-spirits-UNSP,united spirits
3555,3555,united-textiles-UNITE,united textiles
3556,3556,united-van-der-horst-UVD,united van der horst
3557,3557,unity-infraprojects-UTIL,unity infraprojects
3558,3558,hotel-rugby-HOTR,hotel rugby
3559,3559,univastu-india-UIVA,univastu india
3560,3560,universal-arts-UNIV,universal arts
3561,3561,universal-autofoundry-UNIA,universal autofoundry
3562,3562,universal-cables-UNVR,universal cables
3563,3563,universal-office-automation-UNIO,universal office automation
3564,3564,universal-starch-chem-allied-UNIVS,universal starch chem allied
3565,3565,universus-photo-imagings-UNIH,universus photo imagings
3566,3566,uniworth-WOOL,uniworth
3567,3567,unjha-formulations-UNJ,unjha formulations
3568,3568,upsurge-investment-and-finance-UPS,upsurge investment and finance
3569,3569,upsurge-seeds-of-agriculture-USA,upsurge seeds of agriculture
3570,3570,uravi-t-and-wedge-lamps-URAV,uravi t and wedge lamps
3571,3571,urja-global-URJA,urja global
3572,3572,usha-martin-education-and-solutions-USME,usha martin education and solutions
3573,3573,usha-martin-USBL,usha martin
3574,3574,ushakiran-finance-USHA,ushakiran finance
3575,3575,ushanti-colour-chem-USHN,ushanti colour chem
3576,3576,ushdev-international-USH,ushdev international
